pitcher_id,pitcher_trackman_id,count,total,confidence
23633,543391,21295,126121,0.1688457909467892
23719,69446,19706,122230,0.16122064959502577
22759,64021,19019,115361,0.16486507571883047
22277,61101,17216,106510,0.16163740493850343
23782,571035,17174,98320,0.17467453213995118
22890,65320,17078,110029,0.15521362549873216
23745,518852,16795,47969,0.3501219537618045
23561,67263,16551,104172,0.15888146526897823
23767,69940,15719,96933,0.16216355627082624
23880,571527,15616,97692,0.15984932236007043
22908,65516,15164,89413,0.16959502533188686
21955,77829,14756,43630,0.3382076552830621
21916,77446,14666,41232,0.3556946061311603
22834,66291,14037,79262,0.17709621256087407
23903,50859,13873,37692,0.3680621882627613
22249,60263,13630,77611,0.17561943538931338
22192,60841,13615,79680,0.17087098393574296
23593,68902,13329,80840,0.16488124690747155
23781,593417,13328,79119,0.16845511192001922
22708,65764,13137,86542,0.15179912643571908
23987,628333,13020,79471,0.16383334801374086
22720,64001,12799,81436,0.1571663637703227
22389,62363,12596,78809,0.15982946110215837
23555,68220,12240,76583,0.15982659336928562
22435,62869,12237,69872,0.17513453171513624
23440,68341,12003,76821,0.1562463388917093
21936,77318,11783,69335,0.16994303021561982
23897,573185,11534,72972,0.15806062599353177
22730,65056,11206,71503,0.1567206970336909
23518,68419,11108,30607,0.36292351422877117
23769,69962,10995,71383,0.15402827003628314
24222,656212,10705,32872,0.32565709418349964
23988,50030,9916,60940,0.16271742697735478
22419,62528,9847,50640,0.19445102685624013
22782,65769,9744,25521,0.38180322087692486
22163,79764,9601,63866,0.150330379231516
21441,73211,9447,59619,0.15845619684999748
21961,77637,9403,45719,0.2056694153415429
22231,60768,9195,58569,0.1569943143984019
23852,50126,9187,58101,0.15812120273317154
22729,65048,9163,56514,0.16213681565629756
22735,61895,9128,48689,0.18747561050750683
21998,78148,9013,60321,0.14941728419621692
24300,605138,8870,26154,0.3391450638525656
21940,77211,8859,44776,0.19785152760407362
22743,65062,8836,42396,0.20841588829134824
23347,67539,8654,57089,0.15158787156895373
22278,61145,8610,23833,0.36126379389921537
22293,61643,8597,54618,0.15740232157896664
23853,50157,8151,24967,0.3264709416429687
23590,68900,8089,21729,0.37226747664411614
22738,63543,8087,48813,0.16567307889291788
23694,599683,8014,44564,0.17983125392693655
22668,64565,7868,46244,0.1701409912637315
23672,69539,7841,46404,0.1689725023704853
22397,62360,7837,47542,0.16484371713432333
22131,79229,7727,22603,0.34185727558288725
24410,642558,7576,49682,0.15248983535284408
21690,75867,7493,44183,0.1695901138446914
23035,65933,7418,21931,0.3382426701928777
23307,67603,7404,19946,0.3712022460643738
23637,69159,7310,46019,0.1588474325821943
23229,67143,7104,20944,0.3391902215431627
22741,65060,7081,41884,0.16906217171234839
21789,76430,7051,41215,0.17107849084071333
22469,63145,7014,49070,0.14293865905848788
24053,521655,7000,44596,0.15696475020181183
22254,60146,6939,40959,0.16941331575477916
23478,68043,6816,40397,0.16872540040101988
23848,75421,6770,35180,0.1924388857305287
23411,502010,6736,40782,0.1651709087342455
22380,62754,6727,74735,0.09001137351976986
22318,61365,6679,40281,0.16581018346118517
22575,63464,6597,39006,0.16912782648823257
24305,570240,6538,39545,0.16533063598432166
23206,66920,6447,18325,0.3518144611186903
23540,68856,6414,38363,0.16719234679248235
23235,67246,6374,39806,0.16012661407827966
23422,68135,6373,39074,0.1631007831294467
21402,73117,6372,36873,0.1728093727117403
23225,67119,6350,30791,0.2062290929167614
23288,67391,6348,16166,0.3926759866386243
24100,51264,6264,17850,0.35092436974789915
23306,65616,6162,47997,0.1283830239389962
24283,544150,6127,41655,0.1470891849717921
24164,592644,6109,39080,0.15632036847492323
23437,66018,6086,38928,0.15633990957665433
23414,67703,6084,34434,0.1766858337689493
24465,658792,6079,35569,0.17090725069583063
21795,76455,6053,16124,0.3754031257752419
24240,52701,6026,38359,0.15709481477619333
23112,64768,5844,36684,0.15930650964998364
22651,64350,5829,35036,0.16637173193286905
23634,69134,5789,35296,0.1640129193109701
21372,72523,5773,14714,0.39234742422182955
22094,79140,5765,38298,0.1505300537887096
23638,69168,5735,16962,0.3381087135950949
24460,606273,5718,16464,0.34730320699708456
23589,68928,5688,38217,0.14883428840568333
23696,518445,5685,14399,0.39481908465865684
24038,51516,5683,17193,0.33054149944744954
24063,51454,5657,16112,0.35110476663356505
22028,78352,5597,32104,0.17433964615001246
23439,61268,5591,33997,0.16445568726652351
23105,64861,5583,32777,0.1703328553558898
22547,76650,5582,14400,0.38763888888888887
23238,67266,5524,35974,0.1535553455273253
22592,76118,5418,29586,0.1831271547353478
22624,63950,5415,49277,0.10988899486575887
22710,65707,5312,30884,0.17199844579717652
22525,63248,5280,13183,0.40051581582340895
22996,74857,5270,11071,0.47601842651973625
23363,67421,5225,29128,0.17938066465256797
23421,68130,5224,37982,0.13753883418461377
23935,50705,5112,28639,0.1784978525786515
24310,663399,5083,15321,0.33176685594935057
24115,51648,5005,23142,0.2162734422262553
24129,51715,4987,13485,0.36981831664812753
23893,50556,4980,27779,0.1792721120270708
23979,50360,4892,30341,0.16123397383079002
24252,52060,4816,25601,0.18811765165423225
22617,63959,4807,12370,0.38860145513338723
